array_row_index,sequence_id,asset_id,lbw,split,start_timestamp,end_timestamp,start_timeline_index,end_timeline_index
34,AAPL__lbw_126__train__00002455,AAPL,126,train,2015-06-19T00:00:00,2015-09-01T00:00:00,2455,2517
35,AAPL__lbw_126__train__00002518,AAPL,126,train,2015-09-02T00:00:00,2015-11-14T00:00:00,2518,2580
36,AAPL__lbw_126__train__00002581,AAPL,126,train,2015-11-16T00:00:00,2016-02-01T00:00:00,2581,2643
37,AAPL__lbw_126__train__00002644,AAPL,126,train,2016-02-02T00:00:00,2016-04-16T00:00:00,2644,2706
38,AAPL__lbw_126__train__00002707,AAPL,126,train,2016-04-18T00:00:00,2016-06-30T00:00:00,2707,2769
39,AAPL__lbw_126__train__00002770,AAPL,126,train,2016-07-01T00:00:00,2016-09-14T00:00:00,2770,2832
40,AAPL__lbw_126__train__00002833,AAPL,126,train,2016-09-15T00:00:00,2016-11-28T00:00:00,2833,2895
41,AAPL__lbw_126__train__00002896,AAPL,126,train,2016-11-29T00:00:00,2017-02-13T00:00:00,2896,2958
42,AAPL__lbw_126__train__00002959,AAPL,126,train,2017-02-14T00:00:00,2017-04-29T00:00:00,2959,3021
43,AAPL__lbw_126__train__00003022,AAPL,126,train,2017-05-01T00:00:00,2017-07-14T00:00:00,3022,3084
44,AAPL__lbw_126__train__00003085,AAPL,126,train,2017-07-15T00:00:00,2017-09-27T00:00:00,3085,3147
45,AAPL__lbw_126__train__00003148,AAPL,126,train,2017-09-28T00:00:00,2017-12-11T00:00:00,3148,3210
46,AAPL__lbw_126__train__00003211,AAPL,126,train,2017-12-12T00:00:00,2018-02-27T00:00:00,3211,3273
47,AAPL__lbw_126__train__00003274,AAPL,126,train,2018-02-28T00:00:00,2018-05-12T00:00:00,3274,3336
48,AAPL__lbw_126__train__00003337,AAPL,126,train,2018-05-14T00:00:00,2018-07-27T00:00:00,3337,3399
49,AAPL__lbw_126__train__00003400,AAPL,126,train,2018-07-28T00:00:00,2018-10-10T00:00:00,3400,3462
50,AAPL__lbw_126__train__00003463,AAPL,126,train,2018-10-11T00:00:00,2018-12-24T00:00:00,3463,3525
51,AAPL__lbw_126__train__00003526,AAPL,126,train,2018-12-26T00:00:00,2019-03-11T00:00:00,3526,3588
52,AAPL__lbw_126__train__00003589,AAPL,126,train,2019-03-12T00:00:00,2019-05-24T00:00:00,3589,3651
53,AAPL__lbw_126__train__00003652,AAPL,126,train,2019-05-25T00:00:00,2019-08-08T00:00:00,3652,3714
54,AAPL__lbw_126__train__00003715,AAPL,126,train,2019-08-09T00:00:00,2019-12-17T00:00:00,3715,3777
55,AAPL__lbw_126__train__00003778,AAPL,126,train,2019-12-18T00:00:00,2020-03-19T00:00:00,3778,3840
56,AAPL__lbw_126__train__00003841,AAPL,126,train,2020-03-20T00:00:00,2020-06-18T00:00:00,3841,3903
57,AAPL__lbw_126__train__00003904,AAPL,126,train,2020-06-19T00:00:00,2020-09-17T00:00:00,3904,3966
58,AAPL__lbw_126__train__00003967,AAPL,126,train,2020-09-18T00:00:00,2020-12-16T00:00:00,3967,4029
59,AAPL__lbw_126__train__00004030,AAPL,126,train,2020-12-17T00:00:00,2021-03-19T00:00:00,4030,4092
60,AAPL__lbw_126__train__00004093,AAPL,126,train,2021-03-22T00:00:00,2021-06-18T00:00:00,4093,4155
61,AAPL__lbw_126__train__00004156,AAPL,126,train,2021-06-21T00:00:00,2021-09-16T00:00:00,4156,4218
62,AAPL__lbw_126__train__00004219,AAPL,126,train,2021-09-17T00:00:00,2021-12-15T00:00:00,4219,4281
63,AAPL__lbw_126__train__00004282,AAPL,126,train,2021-12-16T00:00:00,2022-03-17T00:00:00,4282,4344
64,AAPL__lbw_126__train__00004345,AAPL,126,train,2022-03-18T00:00:00,2022-06-16T00:00:00,4345,4407
65,AAPL__lbw_126__train__00004408,AAPL,126,train,2022-06-17T00:00:00,2022-09-16T00:00:00,4408,4470
66,AAPL__lbw_126__train__00004471,AAPL,126,train,2022-09-19T00:00:00,2022-12-15T00:00:00,4471,4533
67,AAPL__lbw_126__train__00004534,AAPL,126,train,2022-12-16T00:00:00,2023-03-20T00:00:00,4534,4596
68,AAPL__lbw_126__train__00004597,AAPL,126,train,2023-03-21T00:00:00,2023-06-20T00:00:00,4597,4659
69,AAPL__lbw_126__train__00004660,AAPL,126,train,2023-06-21T00:00:00,2023-09-19T00:00:00,4660,4722
70,AAPL__lbw_126__train__00004723,AAPL,126,train,2023-09-20T00:00:00,2023-12-18T00:00:00,4723,4785
71,AAVUSD__lbw_126__train__00000313,AAVUSD,126,train,2021-11-11T00:00:00,2022-01-12T00:00:00,313,375
72,AAVUSD__lbw_126__train__00000376,AAVUSD,126,train,2022-01-13T00:00:00,2022-03-16T00:00:00,376,438
73,AAVUSD__lbw_126__train__00000439,AAVUSD,126,train,2022-03-17T00:00:00,2022-05-18T00:00:00,439,501
74,AAVUSD__lbw_126__train__00000502,AAVUSD,126,train,2022-05-19T00:00:00,2022-07-20T00:00:00,502,564
75,AAVUSD__lbw_126__train__00000565,AAVUSD,126,train,2022-07-21T00:00:00,2022-09-21T00:00:00,565,627
76,AAVUSD__lbw_126__train__00000628,AAVUSD,126,train,2022-09-22T00:00:00,2022-11-23T00:00:00,628,690
77,AAVUSD__lbw_126__train__00000691,AAVUSD,126,train,2022-11-24T00:00:00,2023-01-25T00:00:00,691,753
78,AAVUSD__lbw_126__train__00000754,AAVUSD,126,train,2023-01-26T00:00:00,2023-03-29T00:00:00,754,816
79,AAVUSD__lbw_126__train__00000817,AAVUSD,126,train,2023-03-30T00:00:00,2023-05-31T00:00:00,817,879
80,AAVUSD__lbw_126__train__00000880,AAVUSD,126,train,2023-06-01T00:00:00,2023-08-02T00:00:00,880,942
81,AAVUSD__lbw_126__train__00000943,AAVUSD,126,train,2023-08-03T00:00:00,2023-10-04T00:00:00,943,1005
82,AAVUSD__lbw_126__train__00001006,AAVUSD,126,train,2023-10-05T00:00:00,2023-12-06T00:00:00,1006,1068
83,AAVUSD__lbw_126__train__00001069,AAVUSD,126,train,2023-12-07T00:00:00,2024-02-07T00:00:00,1069,1131
84,AAVUSD__lbw_126__train__00001132,AAVUSD,126,train,2024-02-08T00:00:00,2024-04-10T00:00:00,1132,1194
85,AAVUSD__lbw_126__train__00001195,AAVUSD,126,train,2024-04-11T00:00:00,2024-06-12T00:00:00,1195,1257
86,AAVUSD__lbw_126__train__00001258,AAVUSD,126,train,2024-06-13T00:00:00,2024-08-14T00:00:00,1258,1320
87,AAVUSD__lbw_126__train__00001321,AAVUSD,126,train,2024-08-15T00:00:00,2024-10-16T00:00:00,1321,1383
88,AAVUSD__lbw_126__train__00001384,AAVUSD,126,train,2024-10-17T00:00:00,2024-12-18T00:00:00,1384,1446
89,AAVUSD__lbw_126__train__00001447,AAVUSD,126,train,2024-12-19T00:00:00,2025-02-19T00:00:00,1447,1509
90,AAVUSD__lbw_126__train__00001510,AAVUSD,126,train,2025-02-20T00:00:00,2025-04-23T00:00:00,1510,1572
91,AAVUSD__lbw_126__train__00001573,AAVUSD,126,train,2025-04-24T00:00:00,2025-06-25T00:00:00,1573,1635
92,AAVUSD__lbw_126__train__00001636,AAVUSD,126,train,2025-06-26T00:00:00,2025-09-01T00:00:00,1636,1698
93,ADAUSD__lbw_126__train__00000313,ADAUSD,126,train,2022-07-20T00:00:00,2022-09-20T00:00:00,313,375
94,ADAUSD__lbw_126__train__00000376,ADAUSD,126,train,2022-09-21T00:00:00,2022-11-22T00:00:00,376,438
95,ADAUSD__lbw_126__train__00000439,ADAUSD,126,train,2022-11-23T00:00:00,2023-01-24T00:00:00,439,501
96,ADAUSD__lbw_126__train__00000502,ADAUSD,126,train,2023-01-25T00:00:00,2023-03-28T00:00:00,502,564
97,ADAUSD__lbw_126__train__00000565,ADAUSD,126,train,2023-03-29T00:00:00,2023-05-30T00:00:00,565,627
98,ADAUSD__lbw_126__train__00000628,ADAUSD,126,train,2023-05-31T00:00:00,2023-08-02T00:00:00,628,690
99,ADAUSD__lbw_126__train__00000691,ADAUSD,126,train,2023-08-03T00:00:00,2023-10-04T00:00:00,691,753
100,ADAUSD__lbw_126__train__00000754,ADAUSD,126,train,2023-10-05T00:00:00,2023-12-06T00:00:00,754,816
101,ADAUSD__lbw_126__train__00000817,ADAUSD,126,train,2023-12-07T00:00:00,2024-02-07T00:00:00,817,879
102,ADAUSD__lbw_126__train__00000880,ADAUSD,126,train,2024-02-08T00:00:00,2024-04-10T00:00:00,880,942
103,ADAUSD__lbw_126__train__00000943,ADAUSD,126,train,2024-04-11T00:00:00,2024-06-12T00:00:00,943,1005
104,ADAUSD__lbw_126__train__00001006,ADAUSD,126,train,2024-06-13T00:00:00,2024-08-14T00:00:00,1006,1068
105,ADAUSD__lbw_126__train__00001069,ADAUSD,126,train,2024-08-15T00:00:00,2024-10-16T00:00:00,1069,1131
106,ADAUSD__lbw_126__train__00001132,ADAUSD,126,train,2024-10-17T00:00:00,2024-12-18T00:00:00,1132,1194
107,ADAUSD__lbw_126__train__00001195,ADAUSD,126,train,2024-12-19T00:00:00,2025-02-19T00:00:00,1195,1257
108,ADAUSD__lbw_126__train__00001258,ADAUSD,126,train,2025-02-20T00:00:00,2025-04-23T00:00:00,1258,1320
109,ADAUSD__lbw_126__train__00001321,ADAUSD,126,train,2025-04-24T00:00:00,2025-06-25T00:00:00,1321,1383
110,ADAUSD__lbw_126__train__00001384,ADAUSD,126,train,2025-06-26T00:00:00,2025-08-29T00:00:00,1384,1446
111,AIRF__lbw_126__train__00000313,AIRF,126,train,2020-07-23T00:00:00,2020-10-19T00:00:00,313,375
112,AIRF__lbw_126__train__00000376,AIRF,126,train,2020-10-20T00:00:00,2021-01-18T00:00:00,376,438
113,AIRF__lbw_126__train__00000439,AIRF,126,train,2021-01-19T00:00:00,2021-04-19T00:00:00,439,501
114,AIRF__lbw_126__train__00000502,AIRF,126,train,2021-04-20T00:00:00,2021-07-15T00:00:00,502,564
115,AIRF__lbw_126__train__00000565,AIRF,126,train,2021-07-16T00:00:00,2021-10-12T00:00:00,565,627
116,AIRF__lbw_126__train__00000628,AIRF,126,train,2021-10-13T00:00:00,2022-01-07T00:00:00,628,690
117,AIRF__lbw_126__train__00000691,AIRF,126,train,2022-01-10T00:00:00,2022-04-06T00:00:00,691,753
118,AIRF__lbw_126__train__00000754,AIRF,126,train,2022-04-07T00:00:00,2022-07-06T00:00:00,754,816
119,AIRF__lbw_126__train__00000817,AIRF,126,train,2022-07-07T00:00:00,2022-10-03T00:00:00,817,879
120,AIRF__lbw_126__train__00000880,AIRF,126,train,2022-10-04T00:00:00,2022-12-30T00:00:00,880,942
121,AIRF__lbw_126__train__00000943,AIRF,126,train,2023-01-02T00:00:00,2023-03-29T00:00:00,943,1005
122,AIRF__lbw_126__train__00001006,AIRF,126,train,2023-03-30T00:00:00,2023-06-29T00:00:00,1006,1068
123,AIRF__lbw_126__train__00001069,AIRF,126,train,2023-06-30T00:00:00,2023-09-26T00:00:00,1069,1131
124,AIRF__lbw_126__train__00001132,AIRF,126,train,2023-09-27T00:00:00,2023-12-22T00:00:00,1132,1194
125,AIRF__lbw_126__train__00001195,AIRF,126,train,2023-12-27T00:00:00,2024-03-25T00:00:00,1195,1257
126,AIRF__lbw_126__train__00001258,AIRF,126,train,2024-03-26T00:00:00,2024-06-25T00:00:00,1258,1320
127,AIRF__lbw_126__train__00001321,AIRF,126,train,2024-06-26T00:00:00,2024-09-20T00:00:00,1321,1383
128,AIRF__lbw_126__train__00001384,AIRF,126,train,2024-09-23T00:00:00,2024-12-18T00:00:00,1384,1446
129,AIRF__lbw_126__train__00001447,AIRF,126,train,2024-12-19T00:00:00,2025-03-24T00:00:00,1447,1509
130,AIRF__lbw_126__train__00001510,AIRF,126,train,2025-03-25T00:00:00,2025-06-24T00:00:00,1510,1572
131,ALGUSD__lbw_126__train__00000340,ALGUSD,126,train,2020-08-28T00:00:00,2020-11-21T00:00:00,340,402
132,ALGUSD__lbw_126__train__00000403,ALGUSD,126,train,2020-11-22T00:00:00,2021-01-23T00:00:00,403,465
133,ALGUSD__lbw_126__train__00000469,ALGUSD,126,train,2021-01-27T00:00:00,2021-03-30T00:00:00,469,531
134,ALGUSD__lbw_126__train__00000532,ALGUSD,126,train,2021-03-31T00:00:00,2021-06-01T00:00:00,532,594
135,ALGUSD__lbw_126__train__00000595,ALGUSD,126,train,2021-06-02T00:00:00,2021-08-03T00:00:00,595,657
136,ALGUSD__lbw_126__train__00000658,ALGUSD,126,train,2021-08-04T00:00:00,2021-10-06T00:00:00,658,720
137,ALGUSD__lbw_126__train__00000721,ALGUSD,126,train,2021-10-07T00:00:00,2021-12-08T00:00:00,721,783
138,ALGUSD__lbw_126__train__00000784,ALGUSD,126,train,2021-12-09T00:00:00,2022-02-09T00:00:00,784,846
139,ALGUSD__lbw_126__train__00000847,ALGUSD,126,train,2022-02-10T00:00:00,2022-04-13T00:00:00,847,909
140,ALGUSD__lbw_126__train__00000910,ALGUSD,126,train,2022-04-14T00:00:00,2022-06-15T00:00:00,910,972
141,ALGUSD__lbw_126__train__00000973,ALGUSD,126,train,2022-06-16T00:00:00,2022-08-17T00:00:00,973,1035
142,ALGUSD__lbw_126__train__00001036,ALGUSD,126,train,2022-08-18T00:00:00,2022-10-19T00:00:00,1036,1098
143,ALGUSD__lbw_126__train__00001099,ALGUSD,126,train,2022-10-20T00:00:00,2022-12-21T00:00:00,1099,1161
144,ALGUSD__lbw_126__train__00001162,ALGUSD,126,train,2022-12-22T00:00:00,2023-02-22T00:00:00,1162,1224
145,ALGUSD__lbw_126__train__00001225,ALGUSD,126,train,2023-02-23T00:00:00,2023-04-26T00:00:00,1225,1287
146,ALGUSD__lbw_126__train__00001288,ALGUSD,126,train,2023-04-27T00:00:00,2023-06-28T00:00:00,1288,1350
147,ALGUSD__lbw_126__train__00001351,ALGUSD,126,train,2023-06-29T00:00:00,2023-08-30T00:00:00,1351,1413
148,ALGUSD__lbw_126__train__00001414,ALGUSD,126,train,2023-08-31T00:00:00,2023-11-01T00:00:00,1414,1476
149,ALGUSD__lbw_126__train__00001477,ALGUSD,126,train,2023-11-02T00:00:00,2024-01-03T00:00:00,1477,1539
150,ALGUSD__lbw_126__train__00001540,ALGUSD,126,train,2024-01-04T00:00:00,2024-03-06T00:00:00,1540,1602
151,ALGUSD__lbw_126__train__00001603,ALGUSD,126,train,2024-03-07T00:00:00,2024-05-08T00:00:00,1603,1665
152,ALGUSD__lbw_126__train__00001666,ALGUSD,126,train,2024-05-09T00:00:00,2024-07-10T00:00:00,1666,1728
153,ALGUSD__lbw_126__train__00001729,ALGUSD,126,train,2024-07-11T00:00:00,2024-09-15T00:00:00,1729,1791
154,ALGUSD__lbw_126__train__00001792,ALGUSD,126,train,2024-09-16T00:00:00,2024-11-17T00:00:00,1792,1854
155,ALGUSD__lbw_126__train__00001855,ALGUSD,126,train,2024-11-18T00:00:00,2025-01-19T00:00:00,1855,1917
156,ALGUSD__lbw_126__train__00001918,ALGUSD,126,train,2025-01-20T00:00:00,2025-03-23T00:00:00,1918,1980
157,ALGUSD__lbw_126__train__00001981,ALGUSD,126,train,2025-03-24T00:00:00,2025-05-25T00:00:00,1981,2043
158,ALGUSD__lbw_126__train__00002044,ALGUSD,126,train,2025-05-26T00:00:00,2025-07-30T00:00:00,2044,2106
159,ALVG__lbw_126__train__00000313,ALVG,126,train,2020-07-30T00:00:00,2020-10-26T00:00:00,313,375
160,ALVG__lbw_126__train__00000376,ALVG,126,train,2020-10-27T00:00:00,2021-01-27T00:00:00,376,438
161,ALVG__lbw_126__train__00000439,ALVG,126,train,2021-01-28T00:00:00,2021-04-28T00:00:00,439,501
162,ALVG__lbw_126__train__00000502,ALVG,126,train,2021-04-29T00:00:00,2021-07-27T00:00:00,502,564
163,ALVG__lbw_126__train__00000565,ALVG,126,train,2021-07-28T00:00:00,2021-10-22T00:00:00,565,627
164,ALVG__lbw_126__train__00000628,ALVG,126,train,2021-10-25T00:00:00,2022-01-21T00:00:00,628,690
165,ALVG__lbw_126__train__00000691,ALVG,126,train,2022-01-24T00:00:00,2022-04-22T00:00:00,691,753
166,ALVG__lbw_126__train__00000754,ALVG,126,train,2022-04-25T00:00:00,2022-07-20T00:00:00,754,816
167,ALVG__lbw_126__train__00000817,ALVG,126,train,2022-07-21T00:00:00,2022-10-17T00:00:00,817,879
168,ALVG__lbw_126__train__00000880,ALVG,126,train,2022-10-18T00:00:00,2023-01-13T00:00:00,880,942
169,ALVG__lbw_126__train__00000943,ALVG,126,train,2023-01-16T00:00:00,2023-04-14T00:00:00,943,1005
170,ALVG__lbw_126__train__00001006,ALVG,126,train,2023-04-17T00:00:00,2023-07-13T00:00:00,1006,1068
171,ALVG__lbw_126__train__00001069,ALVG,126,train,2023-07-14T00:00:00,2023-10-10T00:00:00,1069,1131
172,ALVG__lbw_126__train__00001132,ALVG,126,train,2023-10-11T00:00:00,2024-01-10T00:00:00,1132,1194
173,ALVG__lbw_126__train__00001195,ALVG,126,train,2024-01-11T00:00:00,2024-04-10T00:00:00,1195,1257
174,ALVG__lbw_126__train__00001258,ALVG,126,train,2024-04-11T00:00:00,2024-07-09T00:00:00,1258,1320
175,ALVG__lbw_126__train__00001321,ALVG,126,train,2024-07-10T00:00:00,2024-10-04T00:00:00,1321,1383
176,ALVG__lbw_126__train__00001384,ALVG,126,train,2024-10-07T00:00:00,2025-01-08T00:00:00,1384,1446
177,ALVG__lbw_126__train__00001447,ALVG,126,train,2025-01-09T00:00:00,2025-04-07T00:00:00,1447,1509
178,ALVG__lbw_126__train__00001510,ALVG,126,train,2025-04-08T00:00:00,2025-07-08T00:00:00,1510,1572
179,AMZN__lbw_126__train__00000313,AMZN,126,train,2020-07-27T00:00:00,2020-10-22T00:00:00,313,375
180,AMZN__lbw_126__train__00000376,AMZN,126,train,2020-10-23T00:00:00,2021-01-25T00:00:00,376,438
181,AMZN__lbw_126__train__00000439,AMZN,126,train,2021-01-26T00:00:00,2021-04-26T00:00:00,439,501
182,AMZN__lbw_126__train__00000502,AMZN,126,train,2021-04-27T00:00:00,2021-07-23T00:00:00,502,564
183,AMZN__lbw_126__train__00000565,AMZN,126,train,2021-07-26T00:00:00,2021-10-21T00:00:00,565,627
184,AMZN__lbw_126__train__00000628,AMZN,126,train,2021-10-22T00:00:00,2022-01-21T00:00:00,628,690
185,AMZN__lbw_126__train__00000691,AMZN,126,train,2022-01-24T00:00:00,2022-04-22T00:00:00,691,753
186,AMZN__lbw_126__train__00000754,AMZN,126,train,2022-04-25T00:00:00,2022-07-25T00:00:00,754,816
187,AMZN__lbw_126__train__00000817,AMZN,126,train,2022-07-26T00:00:00,2022-10-21T00:00:00,817,879
188,AMZN__lbw_126__train__00000880,AMZN,126,train,2022-10-24T00:00:00,2023-01-24T00:00:00,880,942
189,AMZN__lbw_126__train__00000943,AMZN,126,train,2023-01-25T00:00:00,2023-04-25T00:00:00,943,1005
190,AMZN__lbw_126__train__00001006,AMZN,126,train,2023-04-26T00:00:00,2023-07-26T00:00:00,1006,1068
191,AMZN__lbw_126__train__00001069,AMZN,126,train,2023-07-27T00:00:00,2023-10-24T00:00:00,1069,1131
192,AMZN__lbw_126__train__00001132,AMZN,126,train,2023-10-25T00:00:00,2024-01-25T00:00:00,1132,1194
193,AMZN__lbw_126__train__00001195,AMZN,126,train,2024-01-26T00:00:00,2024-04-25T00:00:00,1195,1257
194,AMZN__lbw_126__train__00001258,AMZN,126,train,2024-04-26T00:00:00,2024-07-26T00:00:00,1258,1320
195,AMZN__lbw_126__train__00001321,AMZN,126,train,2024-07-29T00:00:00,2024-10-24T00:00:00,1321,1383
196,AMZN__lbw_126__train__00001384,AMZN,126,train,2024-10-25T00:00:00,2025-01-28T00:00:00,1384,1446
197,AMZN__lbw_126__train__00001447,AMZN,126,train,2025-01-29T00:00:00,2025-04-29T00:00:00,1447,1509
198,AUDCAD__lbw_126__train__00000313,AUDCAD,126,train,2001-06-14T00:00:00,2001-09-10T00:00:00,313,375
199,AUDCAD__lbw_126__train__00000376,AUDCAD,126,train,2001-09-11T00:00:00,2001-12-06T00:00:00,376,438
200,AUDCAD__lbw_126__train__00000439,AUDCAD,126,train,2001-12-07T00:00:00,2002-03-05T00:00:00,439,501
201,AUDCAD__lbw_126__train__00000502,AUDCAD,126,train,2002-03-06T00:00:00,2002-05-31T00:00:00,502,564
202,AUDCAD__lbw_126__train__00000565,AUDCAD,126,train,2002-06-03T00:00:00,2002-08-28T00:00:00,565,627
203,AUDCAD__lbw_126__train__00000628,AUDCAD,126,train,2002-08-29T00:00:00,2002-11-25T00:00:00,628,690
204,AUDCAD__lbw_126__train__00000691,AUDCAD,126,train,2002-11-26T00:00:00,2003-02-20T00:00:00,691,753
205,AUDCAD__lbw_126__train__00000754,AUDCAD,126,train,2003-02-21T00:00:00,2003-05-20T00:00:00,754,816
206,AUDCAD__lbw_126__train__00000817,AUDCAD,126,train,2003-05-21T00:00:00,2003-08-15T00:00:00,817,879
207,AUDCAD__lbw_126__train__00000880,AUDCAD,126,train,2003-08-18T00:00:00,2003-11-12T00:00:00,880,942
208,AUDCAD__lbw_126__train__00000943,AUDCAD,126,train,2003-11-13T00:00:00,2004-02-09T00:00:00,943,1005
209,AUDCAD__lbw_126__train__00001006,AUDCAD,126,train,2004-02-10T00:00:00,2004-05-06T00:00:00,1006,1068
210,AUDCAD__lbw_126__train__00001069,AUDCAD,126,train,2004-05-07T00:00:00,2004-08-03T00:00:00,1069,1131
211,AUDCAD__lbw_126__train__00001132,AUDCAD,126,train,2004-08-04T00:00:00,2004-10-29T00:00:00,1132,1194
212,AUDCAD__lbw_126__train__00001195,AUDCAD,126,train,2004-11-01T00:00:00,2005-01-26T00:00:00,1195,1257
213,AUDCAD__lbw_126__train__00001258,AUDCAD,126,train,2005-01-27T00:00:00,2005-04-25T00:00:00,1258,1320
214,AUDCAD__lbw_126__train__00001321,AUDCAD,126,train,2005-04-26T00:00:00,2005-07-21T00:00:00,1321,1383
215,AUDCAD__lbw_126__train__00001384,AUDCAD,126,train,2005-07-22T00:00:00,2005-10-18T00:00:00,1384,1446
216,AUDCAD__lbw_126__train__00001447,AUDCAD,126,train,2005-10-19T00:00:00,2006-01-13T00:00:00,1447,1509
217,AUDCAD__lbw_126__train__00001510,AUDCAD,126,train,2006-01-16T00:00:00,2006-04-12T00:00:00,1510,1572
218,AUDCAD__lbw_126__train__00001573,AUDCAD,126,train,2006-04-13T00:00:00,2006-07-10T00:00:00,1573,1635
219,AUDCAD__lbw_126__train__00001636,AUDCAD,126,train,2006-07-11T00:00:00,2006-10-05T00:00:00,1636,1698
220,AUDCAD__lbw_126__train__00001699,AUDCAD,126,train,2006-10-06T00:00:00,2006-12-20T00:00:00,1699,1761
221,AUDCAD__lbw_126__train__00001762,AUDCAD,126,train,2006-12-21T00:00:00,2007-05-01T00:00:00,1762,1824
222,AUDCAD__lbw_126__train__00001825,AUDCAD,126,train,2007-05-02T00:00:00,2007-07-27T00:00:00,1825,1887
223,AUDCAD__lbw_126__train__00001888,AUDCAD,126,train,2007-07-30T00:00:00,2007-10-24T00:00:00,1888,1950
224,AUDCAD__lbw_126__train__00001951,AUDCAD,126,train,2007-10-25T00:00:00,2008-01-23T00:00:00,1951,2013
225,AUDCAD__lbw_126__train__00002014,AUDCAD,126,train,2008-01-24T00:00:00,2008-04-21T00:00:00,2014,2076
226,AUDCAD__lbw_126__train__00002077,AUDCAD,126,train,2008-04-22T00:00:00,2008-07-17T00:00:00,2077,2139
